date,street_address,zip_code,city,state,partner ,district,event_type,lbs_trash,people_served,bags,property_type,work_type,summary,comments,lat,long,completed
5/25/2024,7191 American Way ,75237,Dallas,TX,Robbin Hood INC and Oak Cliff Veggie Project,South West,distribution,0,50,50,,,Was told by City Of Dallas employee that the crime rate is going down in this particular area!,,,,
5/25/2024,6100 Samuell Blvd ,75228,Dallas,TX,Not My Son,South East,distribution,0,346,142,,,"Due to power outages in the community, multiple families were displaced for nearly five days. We reallocated funds from Dice Programming to Emergency Rehousing to address the urgent housing and shelter needs of the community. As a result, people were placed into housing and will received ongoing support as needed.",,,,
5/25/2024,9507 Overlake Dr,75220,Dallas,TX,United Peoples Coalition ,North West,distribution,0,388,100,,,,,,,
5/25/2024,9507 Overlake Dr,75220,Dallas,TX,Bachman Lake Together,North West,distribution,0,100,50,,,,,,,
6/8/2024,13510 Esperanza Rd ,75240,Dallas,TX,United Peoples Coalition ,North Central,clean,25,0,0,,,The trail really needed some love. Between the 3 of us we were able to disperse among the trail and gather almost 30 lbs of trash,The next few clean ups in this area we hope to attack more behind the apartments. It is nice to see the city has placed more trash cans along the trail hopefully we see this lead to less waste along the trail,,,
6/8/2024,9625 Webb Chapel Rd,75220,Dallas,TX,United Peoples Coalition ,North West,clean,10,0,0,,,Shopping center parking lot and sidewalk clean up,Plan to extend work on the other side of the intersection of Larga and Webb Chapel.,,,
6/8/2024,13015 Audelia Rd,75243,Dallas,TX,Pop Up Comfortt,North East,clean,17,0,0,,,Today the area was mostly old clothes in YNt streets and car parts.  Not as much trash..however noticing more dumping,Have more images,,,
6/8/2024,3800 Bonnie View Rd,75216,Dallas,TX,United Peoples Coalition ,South Central,clean,5,0,0,,,We cleaned the lot and side street,,,,
6/9/2024,2836 Overton Rd,75216,Dallas,TX,Serun Foundation ,South Central,clean,200,0,0,,,"A cleanup of the grounds of El Shaddai apartments, with the residents as volunteers. We also had a cookout with the residents and educated them about their landlords (Monroe Group) and how to place code violations on their apartments",We need CPALs help on June 24th to address the committee of housing and homeless solutions- interventions are needed at this sight because they are owned by negligent slumlords at the Monroe Group,,,
6/8/2024,7191 American Way Rd,75237,Dallas,TX,Robbin Hood INC,South West,clean,25,0,0,,,Was able to clean the main road of American Way. Residents appreciated the work as many waved and gave thanks! They’re starting to get familiar with Robbin Hood inc and used to us being in the community,,,,
6/8/2024,5557 N Jim Miller Rd,75228,Dallas,TX,Not My Son,South East,clean,120,0,0,,,"Cleaning up old houseless camping ground, engaged with business and restaurants near our focus area.",Excited to see people out in the community cleaning up,,,
6/29/2024,3728 Bonnie View Rd,75216,Dallas,TX,United Peoples Coalition ,South Central,distribution,0,0,0,,,,,,,
6/29/2024,13999 Goldmark Dr,75240,Dallas,TX,Goldmark Cultural Center,North Central ,distribution,0,129,67,,,,"The plastic bags were great at handling the wet produce.

The bottled water was very appreciated by the produce recipients who had to walk a long way to and from the produce drive. A single case of water was more than enough for the entire drive.",,,
6/29/2024,9756 Walnut St,75243,Dallas,TX,Pop Up Comfortt,North East,distribution,0,300,110,,,,We moved to 9700 forest lane this week.  Great turn out,,,
6/29/2024,7191 American Way ,75237,Dallas,TX,Robbin Hood INC and Oak Cliff Veggie Project,South West,distribution,0,288,96,,,,,,,
